CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U25209DD1992PTC001310,ALLIED GLOBAL PLASTICS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,1500000,1500000,12/28/1992,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","SURVEY NO. 361 PLOT NO. 9SHREE GANESH IND ESTATE KACHI GAON, DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U25207DD1992PTC001304,NISSAN THERMOWARE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,2000000,2000000,12-01-92,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",NISSAN HOUSESURVEY NO 378/2-B KACHIGAM NANI DAMAN DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U25207DD1992PTC001303,VEEPLAST HOUSEWARE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,2500000,2400000,12-01-92,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","SURVEY NO. 655/IDABHEL VILLAGE, NANIDAMAN, DAMAN- Daman and Diu INDIA 396210",Indian Non-Government Company
U25207DD1992PTC001251,CELLO HOUSEHOLD APPLIANCES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,8000000,8000000,07-08-92,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","Plot No. 685/686/687 Somnath Road, Dabhel Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U24246DD1992PTC001199,MILAN COSMETICS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,10000000,1425000,2/14/1992,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",PLOT NO. 19 & 20SUPREME INDUSTRIAL ESTATE BHIMPORE NANI DAMAN DAMAN (U.T) Daman and Diu INDIA 396210,Indian Non-Government Company
U25209DD1998PTC001125,BHAVANA PLASTICS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,2500000,1302000,6/26/1998,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO. 3, SURVEY NO. 7/1(3)GALI NO-2,VAPI DAMAN ROAD DABHEL NANI DAMAN DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U25207DD1989PTC001012,DIVINE POLY PLASTICS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,1500000,1500000,12/14/1989,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",SR.NO.656 PLOT NO 13B &14BSOMNATH KACHIGAM ROAD DABHEL DAMAN U/T Daman and Diu INDIA 396210,Indian Non-Government Company
U21029DD1988PTC000859,SPIREX PAPER CONVERSIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,500000,314500,09-07-88,Daman and Diu,RoC-Goa,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)",PLOT NO 257/4DAMAN INDUSTRIAL ESTATE KACHIGAUM DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U74899DD1993PLC004666,PSL CORROSION CONTROL SERVICES LIMITED,ACTIVE,Public,Company Limited by Shares,25000000,14000200,6/30/1993,Daman and Diu,RoC-Goa,Business Services,"Survey No. 377 / 2, Zari Causeway Road Kachigam Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U72200DD2000PTC000153,21ST CENTURY ENTERTAINMENT PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,1000000,100000,07-05-00,Daman and Diu,RoC-Goa,Business Services,"H/B-10,GURUDEV COMPLEX,IInd phase SILVASSA Daman and Diu INDIA",Indian Non-Government Company
U51109DD2005PTC004676,BAGHBAAN DISTRIBUTORS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,10000000,4700000,1/31/2005,Daman and Diu,RoC-Goa,Trading,"105, PUSHPANAJALI APARTMENT SAI KRUPA SOCIETY, NO. 4 AIRPORT ROAD NANI DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U40108DD2005PTC004652,WIND WORLD WIND FARMS (TEMDARAI) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,190000000,179700000,11/14/2005,Daman and Diu,RoC-Goa,"Electricity, Gas & Water companies","PLOT NO. 33, DAMAN PATALIA ROAD, BHIMPORE, DAMAN DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U51100DD2005PTC004674,INDIA ADVANTAGE COMMODITIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,30000000,22000000,10/21/2005,Daman and Diu,RoC-Goa,Trading,"Shop no.19, Corner Point Daman Dabhel Road Nani Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U40108DD2005PTC004653,WIND WORLD WIND FARMS (SAI) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,160000000,160000000,9/23/2005,Daman and Diu,RoC-Goa,"Electricity, Gas & Water companies","PLOT NO. 33, DAMAN PATALIA ROAD, BHIMPORE, DAMAN DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U67120DD2005PTC004675,INDIA ADVANTAGE SECURITIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,200000000,174585500,03-11-05,Daman and Diu,RoC-Goa,Finance,"Shop No.19, Corner Point, Daman Dabhel Road Nani Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U17231DD1999PLC004705,DAMAN POLYTHREAD LIMITED,ACTIVE,Public,Company Limited by Shares,45000000,20365400,11-01-99,Daman and Diu,RoC-Goa,Manufacturing (Textiles),"PLOT NO.732-736, OPP-RINGANWADA GOVT-SCHOOL, VILLAGE : DABHEL, NANI DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U51909DD2003PTC004684,TOTAL COMMODITIES (INDIA) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,25000000,17400000,9/15/2003,Daman and Diu,RoC-Goa,Trading,"Balasaheb P Daund,Prajapati Complex, Road No.10,Opp Ganesh Petroleum,Dhabel, Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U67120DD2002PTC004739,NIRSHILP SECURITIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,377050000,293900000,02-08-02,Daman and Diu,RoC-Goa,Finance,"Office No.141, Centre Point Somnath Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U40100DD2000PTC004655,WIND WORLD WIND FARMS (MAHARANA PRATAP) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,03-03-00,Daman and Diu,RoC-Goa,"Electricity, Gas & Water companies","33, DAMAN PATALIA ROAD, BHIMPORE, DAMAN DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U67120DD2000PLC004709,TOTAL SECURITIES LIMITED,ACTIVE,Public,Company Limited by Shares,100000000,48000000,01-11-00,Daman and Diu,RoC-Goa,Finance,"Balasaheb P Daund,Prajapati Complex, Road No.10,Opp Ganesh Petroleum,Dhabel, Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U28129DD1999PTC004697,BHAGWAN PACKAGING INDUSTRIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,2000000,1686300,4/29/1999,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","Survey No. 203, Plot No. 3, Panchal Udyog Nagar, Bhimpore, Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U25200DD1999PTC004710,NOVEX POLY FILMS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,1000000,510000,03-04-99,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","1st FLOOR, PLOT NO.21, MODERN INDUSTRIAL ESTATE, KACHIGAM DAMAN Daman and Diu INDIA 396120",Indian Non-Government Company
U67120DD1993PTC004732,NIRPAN SECURITIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,900000000,883725000,12-06-93,Daman and Diu,RoC-Goa,Finance,"OFFICE NO.141, CENTER POINT SOMNATH DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
L25209DD1992PLC004656,TPL PLASTECH LIMITED,ACTIVE,Public,Company Limited by Shares,100000000,78003000,9/30/1992,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","213, SABARI, KACHIGAM Daman and Diu INDIA 396210",Indian Non-Government Company
U65990DD1988PTC004733,SHAILESH SHAH SECURITIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,112500000,102500000,6/27/1988,Daman and Diu,RoC-Goa,Finance,"OFFICE NO.141, CENTRE POINT SOMNATH DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U51909DD2004PTC004752,TRADEBULLS COMMODITIES BROKING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,5500000,5500000,5/24/2004,Daman and Diu,RoC-Goa,Trading,"Flat No. 304, ""SAI NIVAS-C"" Kathiria Daman and Diu INDIA 396210",Indian Non-Government Company
U67120DD2000PTC004748,AFFLUENCE SHARES AND STOCKS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000000,50000000,1/21/2000,Daman and Diu,RoC-Goa,Finance,"SHOP NO. 15, SHANTINIKETAN BUILDING, KEVDI FALIA, DABHEL, NANI DAMAN, DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
