CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U72200JH2002PTC012168,BROAD RANGE APPLICATION INTEGRATED NETDWORK SOLUTION PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,500,000.00","100,000.00",06-05-02,Jharkhand,RoC-Jharkhand,Business Services,PLOT NO-C-2 LAXMI MARFKET SECTOR-4 BOKARO STEEL CITY BOKARO Jharkhand INDIA 827004,Indian Non-Government Company
U45200JH2002PTC012148,FANTASI DEVELOPERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",18-02-02,Jharkhand,RoC-Jharkhand,Construction,IIND FLOOR DUKS MENSION CINE TANK ROAD RANCHI Jharkhand INDIA,Indian Non-Government Company
U80300JH2002PTC012147,JAMSHEDPUR INSTITUTE OF SCIENCE & TECHNOLOGY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","100,000.00",13-02-02,Jharkhand,RoC-Jharkhand,"Community, personal & Social Services",BIHAR STATE CO-OPERATIVEBANK BUILDING 1ST FLOOR JAMSHEDPUR Jharkhand INDIA 831001,Indian Non-Government Company
U45201JH2002PTC012145,NEWJYOTI BUILDERS COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",11-02-02,Jharkhand,RoC-Jharkhand,Construction,C/O JYOTI TIMBER MART 14 CIRCULAR ROAD LAR ROAD RANCHI Jharkhand INDIA,Indian Non-Government Company
U24230JH2001PTC012133,SHANKARAM HEALTH CARE & RESEARCH (INDIA) PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",31-12-01,Jharkhand,RoC-Jharkhand,"Manufacturing (Metals & Chemicals, and products thereof)",BARA LAL STREET UPPER BAZAR RANCHI Jharkhand INDIA 834001,Indian Non-Government Company
U72200JH2001PTC012120,COMBIND COMPUTER & MARKETING SYSTEM PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","100,000.00",08-11-01,Jharkhand,RoC-Jharkhand,Business Services,"4. KALWAR COMPLEX, KAGAL NAGAR MARKET PS- SONARI JAMSHEDPUR Jharkhand INDIA 831011",Indian Non-Government Company
U14210JH2001PTC012118,RATNAGARBHA MINERALS & CHEMICALS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",05-11-01,Jharkhand,RoC-Jharkhand,Mining & Quarrying,"88, KANKE ROAD PS- KANKE RANCHI Jharkhand INDIA",Indian Non-Government Company
U51496JH2001PTC012117,RATNAPRIYA MINERLS AND CHEMICALS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",18-10-01,Jharkhand,RoC-Jharkhand,Trading,NEAR SAINIK BAZAR MAIN ROAD RANCHI Jharkhand INDIA,Indian Non-Government Company
U45309JH2001PTC012111,ASNIN MINING & CONSTRUCTION PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",03-10-01,Jharkhand,RoC-Jharkhand,Construction,"60, RAJENDRA NAGAR, P.O+P.S: SAKCHI JAMSHEDPUR Jharkhand INDIA",Indian Non-Government Company
U45403JH2001PTC012107,SAMYUG CONSTRUCTION & DEVELOPERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","800,110.00",24-09-01,Jharkhand,RoC-Jharkhand,Construction,UPHAR CINEMA CAMPUS RATU ROAD RANCHI Jharkhand INDIA 834005,Indian Non-Government Company
U34300JH2001PTC012083,DORABJI AUTO PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",04-06-01,Jharkhand,RoC-Jharkhand,Manufacturing (Machinery & Equipments),HOLDING NO 2 CONTRACTORS AREA BISTUPUR JAMSHEDPUR Jharkhand INDIA 831001,Indian Non-Government Company
U72900JH2001PTC012077,GRIDVISION INFOTECH PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"300,000.00","10,000.00",21-05-01,Jharkhand,RoC-Jharkhand,Business Services,OUTER CIRCULAR ROAD JAMSHEDPUR Jharkhand INDIA,Indian Non-Government Company
U51109JH2001PTC012061,MANVI SALES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","500,000.00",22-03-01,Jharkhand,RoC-Jharkhand,Trading,BANE MANZOL ROAD RATU ROAD NEAR PAKARA MANDIR RANCHI Jharkhand INDIA,Indian Non-Government Company
U72300JH2001PTC012058,NETWING COMPUTERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",14-03-01,Jharkhand,RoC-Jharkhand,Business Services,KALWAR COMPLEX 1ST FLOOR KAGAL NAGAR MARKET P.O&P.S. SONARI JSMSHEDPUR Jharkhand INDIA 831011,Indian Non-Government Company
U72300JH2001PTC012054,SUMAN INSTITUTE OF COMPURTER & TECHNOLOGY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","100,000.00",05-03-01,Jharkhand,RoC-Jharkhand,Business Services,"A1/7, ANAND VIHAR P.O.- TELCO WORKS JAMSHEDPUR Jharkhand INDIA 831004",Indian Non-Government Company
U14106JH2001PTC012048,BAIDNATH STONE MILLS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",31-01-01,Jharkhand,RoC-Jharkhand,Mining & Quarrying,AT-BABHAN BIGHA PS- DEOGHAR DEOGHAR Jharkhand INDIA,Indian Non-Government Company
U80903JH2001PTC012041,REBEL COACHING CENTRE PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","100,000.00",11-01-01,Jharkhand,RoC-Jharkhand,"Community, personal & Social Services","1ST FLOOR,144 AMBAGAN ROAD SAKCHI JAMSHEDPUR Jharkhand INDIA 831001",Indian Non-Government Company
U72200JH2006PTC011982,KANISHAK SOFTECH EDUCATION PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"150,000.00","100,000.00",14-02-06,Jharkhand,RoC-Jharkhand,Business Services,"H/O TAPAN KUMAR CHOUDHARY,MADA BUILDING,LUBI ROAD, HIRAPUR,DHANBAD HIRAPUR,DHANBAD Jharkhand INDIA",Indian Non-Government Company
U35303JH2006PTC011975,EXECUCOPTERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","150,000.00",10-02-06,Jharkhand,RoC-Jharkhand,Manufacturing (Machinery & Equipments),"OPP-GEETA BHAWAN,ULLIYAN,P.O.&P.S.-KADMA, JAMSHEDPUR-831005 JAMSHEDPUR Jharkhand INDIA 831005",Indian Non-Government Company
U35303JH2006PTC011974,EXECUJETS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","150,000.00",10-02-06,Jharkhand,RoC-Jharkhand,Manufacturing (Machinery & Equipments),"OPPO-GEETA BHAWAN,ULLIYAN,P.O.&P.S.-KADMA JAMESHEDPUR-831005 JAMESHEDPUR-831005 Jharkhand INDIA 831005",Indian Non-Government Company
U45200JH2006PTC011906,SHAKAMBHARI CONSTRUCTION PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","410,000.00",19-01-06,Jharkhand,RoC-Jharkhand,Construction,"VILLATE+POST-NONI,P.S.-CHITRA, DIST-DEOGHAR Jharkhand INDIA",Indian Non-Government Company
U45200JH2005PTC011791,DRISTI BUILDERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",06-12-05,Jharkhand,RoC-Jharkhand,Construction,"H/NO.-168,BHARTI COMPOUNDSOUTH,KUSAI,DORANDA RANCHI-834002 RANCHI-834002 Jharkhand INDIA",Indian Non-Government Company
U74140JH2005PTC011763,ORDINAL CONSULTANTS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","100,000.00",25-11-05,Jharkhand,RoC-Jharkhand,Business Services,"1-A,SOBHAGYA APARTMENT NEARCMPDI,KANKE ROAD,RANCHI JHARKHAND JHARKHAND Jharkhand INDIA 834008",Indian Non-Government Company
U45200JH2005PTC011757,NALANDA HOMES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,500,000.00","100,000.00",23-11-05,Jharkhand,RoC-Jharkhand,Construction,"ASHOKA APPARTMENTJHARUDIH, DIST-DHANBAD DIST-DHANBAD Jharkhand INDIA",Indian Non-Government Company
