CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U65929AS1994PTC004103,LUCENT INDIA FINANCE AND INVESTMENT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","2,000.00",21-03-94,Assam,RoC-Shillong,Finance,M D ROADNOWGONG ASSAM Assam INDIA 782001,Indian Non-Government Company
U22121AS1994PTC004104,AJIR SAMBAD PUBLICATIONS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"350,000.00","15,000.00",22-03-94,Assam,RoC-Shillong,"Manufacturing (Paper & Paper products, Publishing, PRIVnting and reproduction of recorded media)",SARUMOTORIADISPUR GUWAHATI KAMRUP ASSAM Assam INDIA 781006,Indian Non-Government Company
U51109AS1994PTC004105,UDANGSHRI MEDIA PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","2,000.00",22-03-94,Assam,RoC-Shillong,Trading,ANANDA NAGAR LALMATI ROADBAMUNIMAIDAN GUWAHATI ASSAM Assam INDIA 781001,Indian Non-Government Company
U65929AS1994PTC004106,UTTAR CACHAR FINANCE PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,23-03-94,Assam,RoC-Shillong,Finance,MAIBANG BAZARMAINBONG N C HILLS ASSAM Assam INDIA,Indian Non-Government Company
U14107AS1994PTC004107,CHORARIA INVESTMENTS PVT LTD,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","3,543,000.00",24-03-94,Assam,RoC-Shillong,Mining & Quarrying,R D SHARMA BUILDING 1ST FLOORA T ROAD GUWAHATI ASSAM Assam INDIA 781001,Indian Non-Government Company
U51909AS1994PTC004108,MARBLE CENTRE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"3,500,000.00","3,093,000.00",24-03-94,Assam,RoC-Shillong,Trading,GOSHALA COMPOUNDATHGAON GUWAHATI ASSAM Assam INDIA 781008,Indian Non-Government Company
U70101AS1994PTC004109,PRAGJYOTISH REAL ESTATE DEVELOPERS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","25,000.00",05-04-94,Assam,RoC-Shillong,Real Estate and Renting,CHOICE CENTRE WIRELESSBELTOLA ROAD GUWAHATI KAMRUP ASSAM Assam INDIA,Indian Non-Government Company
U63022AS1994PTC004111,GANGA BANIJYA WAREHOUSING PVT LTD,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","5,000,000.00",07-04-94,Assam,RoC-Shillong,"Transport, storage and Communications",ASHOK BHAWANM S ROAD GUWAHATI ASSAM Assam INDIA 781001,Indian Non-Government Company
U15549AS1994PTC004113,S M CONSUMERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"22,500,000.00","17,643,950.00",11-04-94,Assam,RoC-Shillong,Manufacturing (Food stuffs),C/O Bikash Goduka Kokjhar Manpur Assam INDIA 781125,Indian Non-Government Company
U15205AS1994PTC004114,TRIPTI FOOD PRODUCTS PVT LTD,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",12-04-94,Assam,RoC-Shillong,Manufacturing (Food stuffs),"BORTHAKUR MILL ROAD, ULUBARI GUWAHATI Assam INDIA 781007",Indian Non-Government Company
U20211AS1994PTC004115,TAINWALA TIMBERTECH PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","2,000.00",12-04-94,Assam,RoC-Shillong,Manufacturing (Wood Products),FANCY BAZARGUWAHATI KAMRUP ASSAM Assam INDIA 781001,Indian Non-Government Company
U51909AS1994PTC004116,WELKNOWN ENTERPRIVSES PVT LTD,ACTIVE,Private,Company Limited by Shares,"25,000,000.00","21,387,000.00",12-04-94,Assam,RoC-Shillong,Trading,"3RD FLOOR, SILVER SQUARE OPP. AAYKAR BHAWAN, G. S. ROAD GUWAHATI Assam INDIA 781005",Indian Non-Government Company
U23201AS1994PLC004117,ASSAM METHANOL LIMITED,STRIKE OFF,Public,Company Limited by Shares,"10,000,000.00","7,000.00",13-04-94,Assam,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",BIJLI HILLS COMPOUND MANIPURI BASTI GUWAHATI Assam INDIA 781007,Indian Non-Government Company
U63022AS1994PTC004118,MEGHA ASSAM PVT LTD,ACTIVE,Private,Company Limited by Shares,"25,000,000.00","24,905,000.00",20-04-94,Assam,RoC-Shillong,"Transport, storage and Communications",DR B BARUAH ROADULUBARI ASSAM GUWAHATI Assam INDIA 781007,Indian Non-Government Company
U67120AS1994PTC004119,DHANVARSA MARKETING AND INVESTMENT SERVICES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","300,000.00",20-04-94,Assam,RoC-Shillong,Finance,ROASHAN MARKETS R C B ROAD FANCY BAZAR KAMRUP GUWAHATI Assam INDIA 781001,Indian Non-Government Company
U85110AS1994PTC004121,LIFE SAVING DIAGNOSTIC AND HOSPITAL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"30,000,000.00","24,832,800.00",22-04-94,Assam,RoC-Shillong,"Community, personal & Social Services","JAGADISHWAR PALACE M S ROAD, FANCY BAZAR GUWAHATI Assam INDIA 781001",Indian Non-Government Company
U74910AS1994PTC004123,ASSAM EXSERVICEMEN SERVICES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","15,000.00",29-04-94,Assam,RoC-Shillong,Business Services,CHEREKAPAR HATIMURIAVILL. & P O CHEREKAPAR DIST SIBSAGAR ASSAM Assam INDIA,Indian Non-Government Company
U67120AS1994PTC004124,BARAIL FINANCE AND INVESTMENT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","2,000.00",29-04-94,Assam,RoC-Shillong,Finance,MAIN ROAD HAFLONG BAZARNEAR RAILWAY FIELD NORTH CACHAR HILLS ASSAM Assam INDIA,Indian Non-Government Company
U51109AS1994PTC004126,D J AND ASSOCIATES PVT LTD,ACTIVE,Private,Company Limited by Shares,"500,000.00","150,000.00",02-05-94,Assam,RoC-Shillong,Trading,"A T ROAD CHABUA, DIBRUGARH Assam INDIA 786184",Indian Non-Government Company
